No.,名称,☆,タイプ1,タイプ2,主属性,副属性,HP,攻撃,回復,コスト,スキル,リーダースキル,覚醒数,ギガグラ,最大Lv,,最大HP,最大攻撃,最大回復,HP指数,攻撃指数,回復指数,覚醒スキル1,覚醒スキル2,覚醒スキル3,覚醒スキル4,覚醒スキル5,覚醒スキル6,覚醒スキル7,覚醒スキル8,覚醒スキル9,,
0,なし,,,,,,,,,,,,現在のステ=Lv1のステ+(最大Lvのステ-Lv1のステ)*{(現在Lv-1)/(最大Lv-1)}^n,,,,,,,,,,,,,,,,,,,,
1,ティラ,2,ドラゴン,,火,水,52,57,8,2,ヒートブレス,火の力,0,,5 ,,144,71,13,1.0,1.0,1.0,,,,,,,,,,,
2,ティラン,3,ドラゴン,,火,,115,64,12,4,ヒートブレス,火の力,0,,15 ,,490,231,50,1.0,1.0,1.0,,,,,,,,,,,
3,ティラノス,4,ドラゴン,,火,,392,208,45,6,マグマブレス,火の力,0,,35 ,,971,508,111,1.0,1.0,1.0,,,,,,,,,,,
4,爆炎龍ティラノス,5,ドラゴン,,火,,777,457,100,10,マグマブレス,爆炎の力,3,,99 ,,2145,1114,231,1.0,1.0,1.0,HP強化,攻撃強化,スキルブースト,,,,,,,,
5,プレシィ,2,ドラゴン,,水,,62,42,11,2,コールドブレス,水の力,0,,5 ,,155,62,18,1.0,1.0,1.0,,,,,,,,,,,
6,プレシィール,3,ドラゴン,,水,,124,56,16,4,コールドブレス,水の力,0,,15 ,,518,210,60,1.0,1.0,1.0,,,,,,,,,,,
7,プレシオス,4,ドラゴン,,水,,414,189,54,6,ブリザードブレス,水の力,0,,35 ,,998,477,128,1.0,1.0,1.0,,,,,,,,,,,
8,氷塊龍プレシオス,5,ドラゴン,,水,,798,429,115,10,ブリザードブレス,激流の力,3,,99 ,,2195,1056,264,1.0,1.0,1.0,HP強化,攻撃強化,スキルブースト,,,,,,,,
9,ブラッキィ,2,ドラゴン,,木,,67,32,13,2,ウィンドブレス,木の力,0,,5 ,,168,59,22,1.0,1.0,1.0,,,,,,,,,,,
